"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L2\src\CurrencyCoverter.js", "JavaScript", 66, 62, 19, 147
"c:\Users\JuliaLind\Desktop\school\L2\src\RateFetcher.js", "JavaScript", 38, 58, 13, 109
"c:\Users\JuliaLind\Desktop\school\L2\src\index.js", "JavaScript", 3, 0, 2, 5
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\DataFormatter.js", "JavaScript", 35, 24, 10, 69
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\DataReader.js", "JavaScript", 18, 28, 6, 52
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\FormatHelper.js", "JavaScript", 56, 63, 19, 138
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\JsonFetchService.js", "JavaScript", 23, 20, 5, 48
"Total", "-", 239, 255, 74, 568
