"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L2\src\CurrencyCoverter.js", "JavaScript", 4, -4, 1, 1
"c:\Users\JuliaLind\Desktop\school\L2\src\QuoteConverter.js", "JavaScript", 61, 54, 14, 129
"c:\Users\JuliaLind\Desktop\school\L2\src\index.js", "JavaScript", 1, 0, 0, 1
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\FormatHelper.js", "JavaScript", 3, 4, 1, 8
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\JsonFetchService.js", "JavaScript", 8, 6, 4, 18
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\RateNormalizer.js", "JavaScript", 36, 41, 12, 89
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\functions.js", "JavaScript", 7, 15, 3, 25
"Total", "-", 120, 116, 35, 271
