"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\CurrencyCoverter.js", "JavaScript", 53, 6, 11, 70
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\RateFetcher.js", "JavaScript", 38, 59, 16, 113
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\lib\DataFormatter.js", "JavaScript", 35, 24, 10, 69
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\lib\DataReader.js", "JavaScript", 18, 28, 6, 52
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\lib\FormatHelper.js", "JavaScript", 56, 63, 19, 138
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\lib\JsonFetchService.js", "JavaScript", 23, 20, 5, 48
"Total", "-", 223, 200, 67, 490
