"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\CurrencyCoverter.js", "JavaScript", 53, 6, 11, 70
"c:\Users\JuliaLind\Desktop\school\L2\src\exr\RateFetcher.js", "JavaScript", 38, 59, 16, 113
"Total", "-", 91, 65, 27, 183
